City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,port shepstone,-30.7414,30.455,19.0,84,100,4.71,ZA,1731337685
250,caleta de carquin,-11.0925,-77.6267,20.38,76,83,4.74,PE,1731337686
251,lambunao,11.0556,122.4759,24.14,92,88,0.96,PH,1731337688
252,awjilah,29.1081,21.2869,24.67,28,3,1.76,LY,1731337689
253,manokwari,-0.8667,134.0833,25.96,84,98,1.61,ID,1731337690
254,daru,-9.0763,143.2092,26.46,86,100,5.74,PG,1731337691
255,tabou,4.423,-7.3528,28.82,68,13,4.1,CI,1731337692
256,uturoa,-16.7333,-151.4333,26.36,82,100,8.83,PF,1731337693
257,al bawiti,28.3492,28.8659,21.27,40,100,3.72,EG,1731337694
258,kodiak,57.79,-152.4072,3.73,56,0,6.17,US,1731337684
259,lucapa,-8.4192,20.7447,25.19,70,81,2.22,AO,1731337697
260,zheleznodorozhnyy,55.7503,38.0042,0.05,69,82,0.82,RU,1731337698
261,ujae,8.9322,165.7642,28.16,80,35,7.42,MH,1731337699
262,yaren,-0.5472,166.916,28.17,68,20,5.87,NR,1731337700
263,puerto san jose,13.9256,-90.8244,26.75,78,24,1.61,GT,1731337701
264,jalor,25.35,72.6167,27.46,26,4,1.5,IN,1731337573
265,kashgar,39.4547,75.9797,9.78,50,0,1.57,CN,1731337703
266,warman,52.3168,-106.5679,0.5,80,100,6.61,CA,1731337705
267,goz beida,13.95,20.55,35.37,15,7,3.23,TD,1731337706
268,basco,20.4487,121.9702,26.63,85,100,10.77,PH,1731337707
269,puerto madero,14.7208,-92.4215,27.11,83,75,0.0,MX,1731337708
270,saynshand,44.8824,110.1163,2.42,42,0,3.63,MN,1731337709
271,shafter,35.5005,-119.2718,8.26,40,0,2.75,US,1731337710
272,mount pearl,47.5166,-52.7813,6.75,78,88,1.79,CA,1731337711
273,bacabal,-4.2917,-44.7917,34.34,41,99,1.12,BR,1731337712
274,akureyri,65.6835,-18.0878,7.82,88,100,7.91,IS,1731337714
275,shimoda,34.6667,138.95,18.73,75,60,4.75,JP,1731337715
276,kudahuvadhoo,2.6708,72.8944,27.69,77,100,5.23,MV,1731337716
277,vadso,70.0744,29.7487,3.09,81,40,2.06,NO,1731337717
278,san jose del guaviare,2.5729,-72.6459,29.96,63,100,1.6,CO,1731337718
279,priladozhskiy,59.85,31.4833,0.74,82,100,3.04,RU,1731337719
280,kerouane,9.2667,-9.0167,31.59,35,2,2.96,GN,1731337720
281,cidreira,-30.1811,-50.2056,26.06,62,56,1.26,BR,1731337721
282,murzuq,25.9155,13.9184,24.15,19,57,2.31,LY,1731337723
283,korsholm,63.1142,21.6822,2.97,100,100,3.58,FI,1731337724
284,labrador city,52.9463,-66.9114,-2.12,68,100,2.24,CA,1731337725
285,tidjikja,18.5564,-11.4271,31.31,9,1,4.87,MR,1731337726
286,constantia,44.1833,28.65,4.38,73,100,7.27,RO,1731337727
287,oboyan',51.2098,36.2792,3.18,73,51,2.3,RU,1731337728
288,bereznehuvate,47.3078,32.8499,5.95,70,29,3.39,UA,1731337729
289,vilyuchinsk,52.9306,158.4028,-1.9,76,43,5.68,RU,1731337730
290,murghob,38.1702,73.9667,-5.81,47,0,3.67,TJ,1731337732
291,joao camara,-5.5375,-35.8197,33.14,35,51,6.51,BR,1731337733
292,boende,-0.2167,20.8667,29.91,57,23,0.52,CD,1731337734
